radius,ncity,ndp,nap,ndpdc_p,ndpac_p,ndc_p,nac_p,pp,psc,pdc,pac,alpha,beta,gamma,ndpdc,ndpac,ndc,nac,utility,converged,iterations,time
0.4,15,4,2,1,1,0.2,0.2,0.95,0.95,0.6,0.6,8,8,8,4,4,1,1,-1.100728828,TRUE,22018,152.8245871
0.4,15,4,2,1,0.2,0.8,0.8,0.6,0.95,0.95,0.95,1,8,0,4,1,3,1,-0.709679868,TRUE,13388,22.98086517
0.2,9,8,2,0.2,0.2,0.2,0.8,0.6,0.6,0.6,0.95,1,-8,0,2,2,1,2,-0.616074353,TRUE,8244,3.290473596
0.4,9,8,6,1,0.2,0.2,0.2,0.95,0.6,0.6,0.6,8,-8,8,8,2,2,1,-0.007272995,TRUE,30,1.161334808
0.4,15,4,6,0.2,1,0.2,0.8,0.6,0.95,0.95,0.6,8,-8,8,1,4,1,3,-3.909449716,FALSE,2629,1800.108168
0.4,9,4,2,1,1,0.2,0.2,0.6,0.6,0.6,0.6,1,-8,0,4,4,1,1,-0.578937775,TRUE,11582,26.68045302
0.2,9,8,6,1,0.2,0.2,0.2,0.95,0.6,0.95,0.95,1,8,0,8,2,2,1,-0.069436339,TRUE,924,36.74347341
0.4,15,4,6,0.2,1,0.2,0.8,0.6,0.95,0.95,0.6,8,-8,8,1,4,1,3,-3.909788603,FALSE,2656,1800.409849
0.4,15,8,6,1,1,0.8,0.8,0.95,0.95,0.95,0.95,8,8,8,8,8,6,6,-0.08197797,FALSE,14,1818.904026
0.2,15,4,6,0.2,1,0.2,0.8,0.6,0.95,0.6,0.95,1,8,0,1,4,1,3,-4.103362274,FALSE,2703,1800.683168
0.4,9,4,6,1,1,0.8,0.2,0.6,0.95,0.95,0.6,1,8,8,4,4,3,1,-0.735430116,TRUE,14710,132.9759176
0.2,9,8,2,0.2,0.2,0.2,0.8,0.6,0.6,0.6,0.95,1,-8,0,2,2,1,2,-0.613601195,TRUE,8261,5.367397621
0.2,15,8,2,0.2,0.2,0.2,0.8,0.95,0.95,0.6,0.95,8,8,8,2,2,1,2,-1.594211596,TRUE,31843,38.28043282
0.2,15,8,6,0.2,0.2,0.8,0.8,0.95,0.6,0.95,0.95,8,-8,0,2,2,2,2,-1.962778317,FALSE,13241,1800.155242
0.2,15,8,2,1,0.2,0.8,0.2,0.6,0.6,0.6,0.95,8,8,0,8,2,6,1,-1.5879877,TRUE,31843,868.6935667
0.4,15,4,2,1,1,0.2,0.2,0.95,0.95,0.6,0.6,8,8,8,4,4,1,1,-1.100757141,TRUE,22018,157.1496892
0.2,9,8,6,0.2,1,0.2,0.2,0.95,0.95,0.6,0.6,8,8,0,2,8,1,2,-1.150765559,TRUE,17153,694.6009819
0.2,9,8,6,0.2,1,0.2,0.2,0.95,0.95,0.6,0.6,8,8,0,2,8,1,2,-1.153459518,TRUE,17151,692.0530519
0.2,15,4,2,0.2,1,0.8,0.8,0.6,0.6,0.95,0.95,1,-8,8,1,4,1,3,-1.67026248,TRUE,33258,74.05473717
0.2,9,8,6,0.2,1,0.2,0.2,0.95,0.95,0.6,0.6,8,8,0,2,8,1,2,-1.155147316,TRUE,17150,710.1125654
0.2,15,8,6,0.2,1,0.2,0.2,0.6,0.6,0.6,0.6,1,-8,8,2,8,1,2,-3.271693572,FALSE,267,1805.204375
0.4,9,8,6,0.2,0.2,0.8,0.8,0.6,0.95,0.6,0.6,8,-8,0,2,2,2,2,-0.261020822,TRUE,3027,2.770785136
0.2,9,8,6,1,1,0.8,0.8,0.6,0.6,0.6,0.6,8,8,8,8,8,6,6,-1.910962382,FALSE,3717,1800.051031
