size,pp,psc,pdc,alpha,beta,gamma,radius,pac,ncity,ndp,nap,ndpdc,ndpac,ndc,nac,utility,converged,iterations,time
12,0.75,0.75,0.75,2.25,0.0,2.0,0.3,0.0,12,6,4,6,6,4,4,-1.7829063975594959,false,4204,3600.873741207
9,0.95,0.55,0.95,4.0,-4.0,4.0,0.3,0.0,9,4,2,4,4,2,2,-0.911368107053806,true,18230,87.83280051
12,0.75,0.75,0.55,2.25,0.0,2.0,0.3,0.0,12,6,4,6,6,4,4,-1.7828672132637677,false,4067,3600.088549931
9,0.95,0.55,0.55,4.0,-4.0,0.0,0.3,0.0,9,4,2,4,4,2,2,-0.911368107053806,true,18230,85.241118301
9,0.55,0.95,0.95,4.0,4.0,0.0,0.3,0.0,9,4,2,4,4,2,2,-0.947458232005357,true,18952,81.332863529
9,0.95,0.95,0.95,0.5,4.0,0.0,0.3,0.0,9,4,2,4,4,2,2,-0.9113714953030871,true,18230,80.73120746
9,0.95,0.55,0.95,4.0,4.0,4.0,0.3,0.0,9,4,2,4,4,2,2,-0.911368107053806,true,18230,79.650384047
9,0.95,0.95,0.55,0.5,-4.0,0.0,0.3,0.0,9,4,2,4,4,2,2,-0.9113714953030871,true,18230,84.820967277
15,0.95,0.55,0.55,0.5,4.0,0.0,0.3,0.0,15,8,6,8,8,6,6,-3.3200725324042373,false,27,3670.491884076
9,0.55,0.55,0.55,0.5,-4.0,0.0,0.3,0.0,9,4,2,4,4,2,2,-0.9474611207114851,true,18952,89.576802297
12,0.75,0.75,0.55,2.25,0.0,2.0,0.3,0.0,12,6,4,6,6,4,4,-1.7828768912921165,false,4100,3600.62456877
9,0.55,0.95,0.95,4.0,-4.0,0.0,0.3,0.0,9,4,2,4,4,2,2,-0.9474581518725264,true,18952,94.266208549
15,0.55,0.95,0.95,4.0,4.0,4.0,0.3,0.0,15,8,6,8,8,6,6,-3.19822378905637,false,27,3696.952538975
15,0.55,0.55,0.95,4.0,-4.0,4.0,0.3,0.0,15,8,6,8,8,6,6,-3.198223789056369,false,27,3700.348521842
15,0.95,0.95,0.95,4.0,-4.0,4.0,0.3,0.0,15,8,6,8,8,6,6,-3.1103091525672477,false,27,3722.257078777
