pp,psc,pdc,alpha,beta,gamma,radius,pac,ncity,ndp,nap,ndpdc,ndpac,ndc,nac,utility,converged,iterations,time
0.9051491768,0.7757261118,0.6961762343,6.8438038257,1.9592399675,1.4567603115,0.3,0.2,13,6,4,6,6,3,3,-1.890000044956658,false,5337,14402.073349791
0.823293836,0.8315581945,0.7085035906,6.6673671335,4.9229710666,2.7761886781,0.3,0.2,13,6,4,6,6,3,3,-1.9622553041201145,false,5446,14402.340883179
0.6814965943,0.9386926538,0.7278019482,7.1773821302,1.0968714348,1.0485930827,0.3,0.2,13,6,4,6,6,3,3,-2.102796709495871,false,5459,14400.26856797
0.8082339937,0.8591840912,0.8871279391,2.812447684,-0.178514224,0.0603556569,0.3,0.2,13,6,4,6,6,3,3,-1.7282469739367519,false,5477,14402.385798806
0.8789442022,0.9375258908,0.8276560106,4.0678147343,-7.239900676,1.3551599046,0.3,0.2,13,6,4,6,6,3,3,-1.7106739936774162,false,5645,14400.586056466
0.7383896592,0.9152839291,0.9174916253,5.1187174953,1.6719683107,1.9228745501,0.3,0.2,13,6,4,6,6,3,3,-1.7965143214052393,false,5466,14402.127737177
0.9197932776,0.9000405189,0.8637147225,7.0306636491,-0.677332507,2.4938895681,0.3,0.2,13,6,4,6,6,3,3,-1.5978459677582384,false,5461,14400.304377225
0.850759541,0.9318036949,0.7724255937,5.7918025038,3.6081709418,1.6492769491,0.3,0.2,13,6,4,6,6,3,3,-1.8309523567234491,false,5465,14401.818063057
0.8019128478,0.8686847316,0.7988931676,7.8212066485,7.1959591882,1.5241540936,0.3,0.2,13,6,4,6,6,3,3,-1.8589647750795413,false,5362,14402.303802868
0.9429149165,0.8467453701,0.8954691276,4.4735124986,7.5645819252,1.188107425,0.3,0.2,13,6,4,6,6,3,3,-1.5159779948102272,false,5385,14401.907136849
0.8935087547,0.827457817,0.9371468982,4.7240767248,6.5832102728,3.878141679,0.3,0.2,13,6,4,6,6,3,3,-1.5274865463543996,false,5462,14401.435614737
0.8420157432,0.8912004124,0.6995539809,4.3778583132,-0.710186676,5.5064140672,0.3,0.2,13,6,4,6,6,3,3,-1.944316995312404,false,5537,14400.31721466
0.8287912847,0.8847004063,0.6417460594,1.2600602947,0.5960682309,3.3829100265,0.3,0.2,13,6,4,6,6,3,3,-2.046150051623972,false,5486,14400.413624538
0.9265701273,0.6925696556,0.6074260822,1.6049837473,3.4196806257,3.0790947977,0.3,0.2,13,6,4,6,6,3,3,-2.0223210737643247,false,5477,14402.556499862
0.7992913612,0.9208992572,0.8058864784,3.7999594759,-2.62105419,2.2810150018,0.3,0.2,13,6,4,6,6,3,3,-1.851242268590279,false,5528,14402.127006401
0.8846717178,0.8757778269,0.7386897297,2.1386035329,-4.373639566,3.467029793,0.3,0.2,13,6,4,6,6,3,3,-1.8358697622502032,false,5561,14400.545158876
0.8318400458,0.8130341764,0.7648654542,1.2038540012,5.7462652799,0.5603976045,0.3,0.2,13,6,4,6,6,3,3,-1.8734424875779523,false,5472,14401.326857618
0.9210873313,0.9203145186,0.704619967,3.034021331,6.2632531161,2.6831225065,0.3,0.2,13,6,4,6,6,3,3,-1.8445587067828788,false,5466,14401.162788148
0.8860137894,0.8254272526,0.649002688,2.2221882974,4.1106627227,1.40104243,0.3,0.2,13,6,4,6,6,3,3,-1.9783355843028654,false,5442,14401.624175054
0.8743956665,0.6813817165,0.6226054975,4.8468770004,-0.813051946,0.6021683688,0.3,0.2,13,6,4,6,6,3,3,-2.0603018563680444,false,5474,14401.755769743
